trip_id,trip_property_id,value
68107763,note,Waits at Ashmont for last Red Line train
68107763,trip_type,wait
68108383,note,Waits at Ashmont for last Red Line train
68108383,trip_type,wait
68136468,note,Waits at Ruggles for last Orange Line train
68136468,trip_type,wait
68136496,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
68136496,trip_type,wait
68136606,note,Waits at W Broadway @ Broadway Station for last Red Line train
68136606,trip_type,wait
68136811,note,Waits at W Broadway @ Broadway Station for last Red Line train
68136811,trip_type,wait
68136848,note,Waits at Ruggles for last Orange Line train
68136848,trip_type,wait
68136921,note,Waits at Green St @ Pearl St for last Red Line train
68136921,trip_type,wait
68136927,note,Waits at Ruggles for last Orange Line train
68136927,trip_type,wait
68137064,note,Waits at Boylston St @ Dartmouth St for last Green Line train
68137064,trip_type,wait
68137130,note,Waits at Kenmore for last Green Line train
68137130,trip_type,wait
68137318,note,Waits at Ashmont for last Red Line train
68137318,trip_type,wait
68137374,note,Waits at Ruggles for last Orange Line train
68137374,trip_type,wait
68137449,note,Waits at Andrew for last Red Line train
68137449,trip_type,wait
68137453,note,Waits at Forest Hills for last Orange Line train
68137453,trip_type,wait
68137564,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
68137564,trip_type,wait
68137592,note,Waits at Nubian for last Silver Line bus
68137592,trip_type,wait
68137800,note,Waits at Nubian for last Silver Line bus
68137800,trip_type,wait
68137902,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
68137902,trip_type,wait
68161588,note,Does not run during school vacation
68161588,trip_type,supplemental
68161884,note,Does not run during school vacation
68161884,trip_type,supplemental
68161892,note,Does not run during school vacation
68161892,trip_type,supplemental
68161893,note,Does not run during school vacation
68161893,trip_type,supplemental
68161895,note,Does not run during school vacation
68161895,trip_type,supplemental
68161899,note,Does not run during school vacation
68161899,trip_type,supplemental
68161901,note,Does not run during school vacation
68161901,trip_type,supplemental
68161906,note,Does not run during school vacation
68161906,trip_type,supplemental
68161972,note,Does not run during school vacation
68161972,trip_type,supplemental
68162522,note,Does not run during school vacation
68162522,trip_type,supplemental
68162532,note,Does not run during school vacation
68162532,trip_type,supplemental
68162534,note,Does not run during school vacation
68162534,trip_type,supplemental
68163225,note,Does not run during school vacation
68163225,trip_type,supplemental
68163266,note,Does not run during school vacation
